Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Greece,GRC,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,44411.037,45918.174,47021.941,48664.757,48661.09,50421.25,49885.868,47340.97,48756.432,46823.923,40813.71,36838.682,37040.367,31510.531,32650.968,34161.772,34708.155,,,,,,
Grenada,GRD,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,190.684,194.351,205.352,216.353,205.352,216.353,231.021,238.355,253.023,253.023,260.357,253.023,271.358,304.361,234.688,260.357,267.691,,,,,,
Greenland,GRL,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,454.708,407.037,377.701,429.039,583.053,608.722,627.057,638.058,660.06,575.719,663.727,707.731,568.385,553.717,506.046,509.713,509.713,,,,,,
Guatemala,GTM,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,8368.094,8863.139,8855.805,8643.119,9149.165,9570.87,9519.532,9966.906,8723.793,10087.917,8720.126,8841.137,8932.812,9156.499,9739.552,10549.959,10872.655,,,,,,
Guam,GUM,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1609.813,1595.145,1580.477,1565.809,1628.148,1437.464,1290.784,1562.142,1558.475,1565.809,1719.823,1782.162,1994.848,1936.176,2009.516,1965.512,2185.532,,,,,,
High income,HIC,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,5799011.94,5810856.593,5761123.032,5856215.102,5931345.307,5934833.574,5877089.509,5781129.053,5652773.341,5485921.586,5509055.272,5331304.523,5340956.13,5278705.588,5281608.825,5521060.956,5402595.405,,,,,,
"Hong Kong SAR, China",HKG,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,20736.885,17469.588,14781.677,14763.342,13780.586,13663.242,11837.076,11741.734,11719.732,8870.473,9446.192,9244.507,9607.54,9435.191,9273.843,10219.929,11063.339,,,,,,
Honduras,HND,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,4030.033,4726.763,5108.131,5687.517,6211.898,6380.58,6461.254,7565.021,7334,6538.261,6747.28,7315.665,7594.357,7880.383,8093.069,8874.14,8533.109,,,,,,
Heavily indebted poor countries (HIPC),HPC,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,60806.194,66427.705,69001.939,74451.101,80428.311,81334.06,86093.826,94414.249,97322.18,100065.096,109379.276,115297.814,122719.822,127197.229,137376.821,145341.545,146613.994,,,,,,
Croatia,HRV,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,11246.689,11639.058,12145.104,13303.876,12291.784,12797.83,13054.52,13234.203,12357.79,12233.112,10322.605,10010.91,8991.484,8595.448,8591.781,9024.487,8896.142,,,,,,
